acc_days,failed_logins,is_vpn_or_proxy,transaction_amount,is_card_blacklisted,is_multiple_cards_used,items_quantity,pages_viewed,device_change_during_session,category,purchase_frequency_user,is_fraud,email
503,5,False,1113.62,False,False,2,17,False,Electronics,26,0,zf6iovpb@outlook.com
1538,2,False,237.44,False,False,4,18,False,Home Appliances,8,0,xc6f68k1@gmail.com
607,5,False,420.57,False,False,4,9,False,Electronics,26,0,b1v619a1@gmail.com
1399,2,False,322.88,False,True,3,5,False,Groceries,14,0,avmp55jz@gmail.com
1201,4,False,380.86,False,True,2,1,False,Beauty,17,0,baoqjqza@gmail.com
1173,0,True,1430.48,False,False,2,3,False,Fashion,6,0,ipi5pe8u@yahoo.com
790,5,False,1134.12,False,False,2,11,False,Fashion,2,0,1idtxv2d@outlook.com
658,4,False,360.82,False,False,1,14,False,Electronics,24,0,vrg1njqm@yahoo.com
1446,0,False,675.68,False,False,2,14,False,Fashion,9,0,h00kd0ef@gmail.com
1572,2,False,236.42,False,False,5,6,False,Groceries,2,0,pkwblp4j@yahoo.com
1381,2,False,477.97,False,True,1,15,False,Groceries,12,0,498zojw5@yahoo.com
827,4,True,1251.45,False,False,1,5,False,Fashion,9,0,ich2gezv@yahoo.com
1625,5,False,70.91,False,False,2,2,False,Beauty,30,0,n0lanisv@outlook.com
1802,1,False,1002.07,False,True,4,9,False,Fashion,15,0,b9xgqo2a@yahoo.com
1273,4,False,495.75,False,False,5,2,False,Fashion,29,0,p5syd97l@yahoo.com
1174,3,False,782.28,False,True,5,14,False,Beauty,13,0,yr1jk6ox@yahoo.com
1296,4,False,824.17,False,False,5,6,False,Home Appliances,8,0,q3crc313@yahoo.com
1399,5,False,918.85,False,False,1,14,False,Fashion,4,0,vm87ns15@gmail.com
814,4,False,479.36,False,True,2,17,False,Groceries,11,0,4hngbcih@gmail.com
973,3,True,577.64,False,False,4,19,False,Fashion,28,0,0616ub73@gmail.com
1763,0,False,1347.23,False,True,2,1,False,Groceries,15,0,pnksp2j7@gmail.com
1705,0,False,493.63,False,False,1,1,False,Fashion,19,0,knpwncco@yahoo.com
445,0,False,910.81,False,False,5,4,False,Home Appliances,12,0,o7nbwnlj@outlook.com
572,1,False,162.78,False,True,3,3,False,Beauty,11,0,x04w97ns@gmail.com
788,1,False,423.09,False,False,4,15,False,Home Appliances,17,0,tkpyf9ik@gmail.com
1965,0,False,463.4,False,True,5,20,False,Beauty,18,0,xivzdubh@gmail.com
1722,0,False,1047.64,False,True,2,9,False,Groceries,26,0,5olmka6r@yahoo.com
1760,4,False,839.32,False,True,3,20,False,Fashion,6,0,t1yl96om@outlook.com
1007,3,False,707.52,False,True,1,8,False,Beauty,27,0,r3hz68wl@outlook.com
92,0,True,14300.0,True,False,8,19,True,Beauty,15,1,invalidgmail@rinedasinf.com
1234,5,False,1453.74,False,True,3,18,False,Beauty,27,0,1re3gyi6@outlook.com
728,2,False,780.07,False,False,1,6,False,Electronics,4,0,xhsharau@gmail.com
